find out,"na. 查出；发现；看清…的面目；识破
"
make conversation, 找话谈，进行无意义的空谈，闲扯
show sympathy for,无
take ... for granted,"v. 想当然
"
most of,"adj. 大多数
"
at all,"na. 全然；究竟
"
weigh down,"na. 使负重担；压迫
"
follow the example of,"na. 照…的榜样
"
go away,"na. 离开；带走
"
as a means of, 以资；作为…的方法；作为…的工具
around the clock,"na. 夜以继日地
"
be serious about,"v. 用心
"
search for,"na. 寻找；寻求；探求
"
lean on,"na. 靠在；倚赖；【军】据险(固守)
"
in reality,"na. 事实上；实在
"
quick fix,"n. 权宜之计
"
in conjunction with,"na. 与…共同；连带着
"
look up to,"v. 尊敬；另眼看待；向…一举一动看齐
"
a big deal,"na. 要人；重要的事
"
switch to,"v. 转换到
"
volunteer to, 志愿提出某事；自愿去；V自愿从事
for good,"na. 永久地
"
cater to,"v. 迎合
"
a piece of cake,"na. 轻而易举的事
"
get rid of,"na. 除掉；摆脱；撵走
"
on average, 平均；平均起来；通常
other than,"na. 与…不同；除了
"
escape from,"v. 逃脱
"
bring back,"na. 送回；使恢复；使回忆起
"
fall short,"na. “come short”的变体
"
thirst for,"v. 非常想望
"
to the effect that, 大意是；大意是说；主要内容是
take measures,"na. 测定
"
offer to,"vt.向...提供,向...提交"
in the wake of,"na. 在…后接踵而来；在后追随
"
cast doubt on,"un. 令人对…置信不疑；令人不疑
"
leave sb. in the dark, 留在黑暗中
hand out,"na. 分；拿出来；施舍
"
not ... until, 直到……才；引导的句子要倒装；引起倒装
die of,"na. 因…而死
"
press forward,"v. 向前推进
"
live with,"v. 和…住在一起；和…同居；和…妥协；容忍
"
owing to,"conj. 由于；因为
prep. 因为；由于
"
be meant to, 有意要；应该是；打算
in so far as,"na. 到…的程度；只要；(表示程度,范围)就…
"
be generous to,无
be popular with,"na. 受…欢迎
"
emerge from,"v. 从…里露出
"
look into,"na. 窥视；调查；过问
"
pay for,"na. 付开销；赔偿(损失)；(为某种过失)付出代价；吃亏
"
keep an eye on,"v. 密切注意
"
to say the least,"na. 至少可以这样说
"
come across,"na. 尽(义务)；发现；碰见；(穿过…)来到
"
at the start of, 在…开始的时候；在……的开始；在---的开端
want to,"na. 应该
"
known as, 被称为；被认为是；以…而闻名
be known as,"na. 通称
"
in some cases,"na. 有时候
"
pile into,"v. 蜂拥而入
"
stand out,"na. 突出；显著；不参加战争；抵抗到底
"
